Account:ID,USD:FLOAT,USD_avg:FLOAT,USD_max:FLOAT,Tainted Coins:FLOAT
2dd13954e18508bb8b3a41d96a022be9,-106745.80498400002,-2134.91609968,8680,0
84a0b53e1ac008b8dd0fd6212d4b7fa2,439083.12499648,1728.673720458583,124000,0
7c74d3afb41e536e26948a1d2455a7c7,-57897.694154159995,-3859.8462769440007,5741.448,0
3b62a891b99969042d4e6ac8158d0a18,-18496947.79616,-388.1672919533283,632400,0
50dced19b8ee41114916bf3ca894f455,-331119.67999999993,-14396.507826086958,-2.48,0
4289f81f7ce5dfba9bf6e20794c76a9f,-16741875.459742177,-1264.683143959976,991997.5199999999,0
e52baeb69fbd7a24f3ef825bc4e20973,991986.4876133599,991986.4876133599,991986.4876133599,0
7f0e2244e41718b68e36ed0c810d084b,759427.3091515203,2618.7148591431724,124000,0
a209cf1b3dc79338896ffa773b4249ff,-31332.113664,-1566.6056831999997,3034.776,0
acff150b2c349169d074fc863fbfcf71,-7440,-3720,-2480,0
9fed32070fe368dbaec874b41d77dda2,-17325851.507064555,-853.1960164999537,496000,0
3c6f834c38a64ed4f300c195fbfb9b28,500145.4086277599,1852.3904023250375,148800,0
95459b5189cf0f3ad9e78509d11f4174,178954.50210392007,2485.479195887777,17745.217904,0
346fde44e8cc423ed62c33b53192cd47,-29619.516751920004,-2692.683341083636,-0.248,0
051c3b2ac5be75edb20e05e15443b892,-311687.43904808006,-1833.4555238122348,2566.7752,0
9d349f6bcdc69f75fe012535851a1434,-10575.5128312,-2115.1025662399998,-655.5128311999999,0
60ea296f309109bad04782212c932226,-46992.45593119999,-1092.847812353488,-77.20039864,0
493e58a4f163524f13606deccecbb4f0,-8261190.735776324,-820.783977722436,15656.901847520001,0
f779d3310619a09a1aaf6f7d43276a02,-174206.939018,-2809.789339,6966.0456376,0
f07f3e0a831703973341a78d85088ceb,-20531.92,-2566.49,-939.92,0
e13a924614a254e4a12051d987f63f82,-188402.99600000016,-2025.838666666669,2727.9752,0
ed5ddd4424da494bba965c11e478b6bf,-3182238.7924964796,-551.5145220964438,496000,0
